ELEV	LAT	LON
shuways	25.781	55.9787
sram	25.4982	56.0572
sufad	25.2216	56.3239
suheila	24.8039	56.1945
sulaymat	24.2219	55.6031
sumbrair	25.6008	56.2844
taiyibah	25.4123	56.1707
taraif	24.054	53.7635
tawian	25.5568	56.0765
tawi as siji	25.2476	56.0772
tayibah	25.4123	56.1707
tereg	23.1166	53.607
tharwaniyyah	23.1109	54.0157
theeb	25.245	56.3421
thoban	25.3033	56.0279
ud al beida	25.0162	55.4553
`ujman	25.4069	55.4441
um al quweim	25.5647	55.5552
umm as suqaym	25.1502	55.2059
umm grain	23.1	53.7
`uyaynah	25.4528	56.1688
wa'abain	25.5705	56.1353
waafit	23.1026	53.7116
wahala	24.909	56.3032
wedheil	23.0474	54.1333
wefid	23.1026	53.7116
western mariyyah	23.1027	53.5818
wudhayl	23.0474	54.1333
yaif	23.1579	53.7776
yalah	25.4152	56.155
yumul al quwain	25.5647	55.5552
zayah	25.8878	56.0582
zubara	25.4049	56.3597
zuweihir	23.1392	53.6934
`aaqadari yosufkhel	33.0519	68.65
aba	32.6695	62.1612
abah kah	36.6736	69.0782
abak	34.235	67.1916
abakeh	36.6736	69.0782
aba khel	34.7442	70.2878
abanda	33.282	64.6481
aband	35.475	69.8711
ab `aref	35.1198	61.4851
abas	33.333	67.643
`abas`ali	32.8134	65.968
abash	34.2489	68.6083
abaskhankala	32.504	69.2098
abas khel	31.9759	67.5918
abaskushta	34.3313	67.6407
abay	33.385	67.4946
abazay	31.9167	67.7422
abbaakhayi-nakhri-saradzh	31.719	64.6007
abbakhsh	34.8693	63.2742
ab bala	34.7254	67.7362
ab band	38.2906	70.8255
abband	34.4903	68.2886
ab band matkat	38.2906	70.8255
ab barik	35.578	65.1018
`abbas	33.333	67.643
`abbas `ali	32.8134	65.968
`abbasha-ye helmand	31.7919	64.5664
`abbas kala	32.7825	67.8005
abbaskhankala	32.4692	69.2071
abbaskhei samali	32.832	69.1234
`abbas khel	31.9759	67.5918
`abbas khel-e junubi	32.6719	69.1347
abbaskhel samali	32.832	69.1234
`abbas kheyl	31.9759	67.5918
`abbaskheyl	32.8314	69.2606
abbaskheyl'-dzhanubi	32.6719	69.1347
`abbaskheyl-e shemali	32.832	69.1234
`abbaskoshteh	34.3313	67.6407
ab bazan	36.9335	69.9452
abbazha-i-helmand	31.7919	64.5664
abbazha-i-nahre saraj	31.719	64.6007
abbazha-ye helmand	31.7919	64.5664
ab bazha-ye nahr-e saraj	31.719	64.6007
abbazkhayi-gil'mand	31.7919	64.5664
abbedak	33.4823	64.3106
ab bordeh	33.0879	67.4373
abcakan	33.8942	69.2358
ab carmi	35.4369	61.3857
ab cenar	36.8832	70.1601
abchak	33.8182	65.8808
abchakan	33.8942	69.2358
abchang	34.1515	63.4195
ab charmi	35.4369	61.3857
ab chekan	33.8942	69.2358
ab chenar	36.8832	70.1601
abdak	34.1069	64.1679
abdakay	32.234	68.2449
abdak-e balenah	34.8747	66.5436
abdak-e taynah	34.8721	66.5379
abdakey	31.8077	66.4872
abdal-e pasha khan	35.7189	64.5497
abdal'khankala	32.6695	62.4393
abdallahkhel	35.2473	69.6156
abdana	33.3143	67.1982
abdan	36.0339	66.1219
ab danah	33.3143	67.1982
abdang	34.0529	62.9321
abdan-i-mir alam	36.6567	68.3705
abdara	33.6663	68.0096
ab dara	36.2885	66.8539
abdara	35.7678	66.5633
ab darah	38.1018	70.4655
abdarah	33.6663	68.0096
ab darah	34.7112	69.3196
ab daraz	35.3962	61.3586
abdarra	33.8578	68.7419
ab darrah	38.1018	70.4655
abdarreh	33.6663	68.0096
ab darreh	33.8578	68.7419
abdarreh	34.315	68.868
ab darreh	33.7537	65.848
ab darwayshan	34.4208	67.9894
abdaw	36.6215	71.1872
ab deraz	35.3962	61.3586
`abd es salam	32.775	67.0339
`abdian	34.4528	70.4733
abdibay	35.0295	69.2322
ab dokan	33.5956	63.5116
`abdolabad	34.3347	62.2511
`abdol	35.6547	64.6067
`abd ol ahad beyg kamari	35.0837	63.1716
`abd ol ahadkhan kariz	31.8423	65.8548
abdol ahd bay kamari	35.0741	63.1517
abd ol ali khan kalay	31.3289	64.2804
`abd ol `alim kalay	31.2297	64.2064
`abd ol `aziz	31.1473	62.0907
`abdol `aziz kalay	31.6842	64.3625
`abd ol baqi	32.0961	65.862
abdol baqikhan kalay	31.4786	67.0224
`abdoleh khan	31.1093	61.8654
`abd ol habib kalay	30.7253	64.0964
`abd ol hakim	34.74	62.2454
`abd ol hakim kalay	31.0961	66.6211
`abd ol hamid	31.1921	62.154
`abd ol hamid kalay	33.2975	68.2802
`abd ol hamid kowtkay	33.2542	69.8592
`abd ol haqq	35.2568	63.4867
`abd ol haqq kalay	31.9322	66.6548
`abd ol hezar beyg	37.4744	69.6957
`abd ol kala	33.2444	68.8286
`abd ol kalay	31.587	67.4062
`abd ol karim khan	34.6999	62.5351
`abdolkarimkheyl	35.128	69.0566
`abd ol karim taraki	35.0876	63.2589
`abdolkheyl	34.9507	69.6092
`abdollah akhvondzadeh kariz	31.5382	65.0561
`abdollah jan	34.9525	61.6868
`abdollahjan kalay	31.1092	64.1801
`abdollah kala	32.8739	67.447
`abdollah kalay	31.3075	64.2547
`abdollahkhan	34.7898	63.5026
`abdollah khan	34.9843	61.6854
`abdollahkhan	31.5092	65.3019
`abdollah khan	32.8644	68.5815
`abdollahkhan	32.8471	66.024
`abdollah khan kala	32.8644	68.5815
`abdollahkhan kalay	31.5701	66.3717
`abdollah khan kalay	31.7169	67.3799
`abdollahkheyl	35.2473	69.6156
`abdollah kur	31.8432	64.6045
`abd ol majid khan	31.1568	62.032
`abd ol malek	35.9293	68.0104
abdol mohey od din kalay	33.7753	68.5108
`abd ol nazar beyg	37.4744	69.6957
`abd ol qader	32.2078	67.2667
`abd ol qayum kalay	32.4483	66.8796
`abdolqodduskhan kalab	31.4249	65.7114
`abd ol rahim	33.2911	68.4167
`abd ol rahim kalay	31.5624	66.3357
`abd ol rahim kheyl	33.9112	68.4411
`abd ol rahman	31.0872	61.8392
`abd ol rahman-e gargud	31.0296	61.844
`abd ol rahman-e ya`qub	30.9367	61.8711
`abd ol rahman khan	31.588	65.4827
abd ol rahman kur	32.3516	66.6658
`abd ol rashid	33.3778	68.4969
`abd ol razzaq	31.514	65.3772
abd ol salam	32.775	67.0339
abd ol samad kalay	31.8018	65.7702
`abd ol samad khan	31.2197	61.7806
abd ol samad khan	31.2314	62.174
`abd ol vahed	32.1045	65.8647
`abd ol vahedkhan	31.1719	61.8027
`abd ol vahhab kalay	32.6687	67.7547
`abd ol vahid kalay	31.6889	64.3038
`abd ol val	33.3242	68.4947
`abd or rahim	33.2911	68.4167
`abd or rahim kalay	31.5624	66.3357
`abd or rahimkheyl	33.9112	68.4411
`abd or rahimzi	34.4464	69.8997
`abd or rahman	34.2406	69.2572
`abd or rahman chambar	32.6878	68.1182
`abd or rahmani	34.2265	70.3963
